Name,Algorithm,Time,Cost
kroE100,Christofides,0.05203866958618164,23819.166642236854
kroE100,TATT,0.0064203739166259766,30507.419046823474
kroE100,MonteCarlo,1.2812399864196777,24949.844908552906
kroC100,Christofides,0.038934946060180664,22755.486907168703
kroC100,TATT,0.006340980529785156,27966.54136375163
kroC100,MonteCarlo,1.2799861431121826,23621.82519262657
kroB100,Christofides,0.028714656829833984,24009.194442252865
kroB100,TATT,0.0061228275299072266,25881.199893685625
kroB100,MonteCarlo,1.291369915008545,25109.06175433834
kroD100,Christofides,0.03895998001098633,23786.750679659875
kroD100,TATT,0.00625300407409668,27113.29664042698
kroD100,MonteCarlo,1.2897565364837646,23789.909781783335
berlin52,Christofides,0.008430004119873047,8563.804871340673
berlin52,TATT,0.0017230510711669922,10116.014495510826
berlin52,MonteCarlo,1.1160428524017334,8233.998641369239
pr76,Christofides,0.013458013534545898,116683.53464597449
pr76,TATT,0.003992795944213867,145338.11445183848
pr76,MonteCarlo,1.189302682876587,123295.95725620189
pr144,Christofides,0.025557518005371094,70611.60136250491
pr144,TATT,0.014614582061767578,80596.32004796875
pr144,MonteCarlo,1.507577896118164,71047.59332488998
rat195,Christofides,0.15797042846679688,2659.0892736883293
rat195,TATT,0.060861825942993164,3317.723252056972
rat195,MonteCarlo,1.7167410850524902,2825.410275969815
kroA150,Christofides,0.1481184959411621,29356.835848477844
kroA150,TATT,0.018547534942626953,35122.56680105931
kroA150,MonteCarlo,1.5978586673736572,31442.280189763424
kroA100,Christofides,0.04325103759765625,23292.98465639025
kroA100,TATT,0.007064342498779297,27211.67972921635
kroA100,MonteCarlo,1.3150978088378906,23549.511168417936
pr136,Christofides,0.025068044662475586,103772.91231782282
pr136,TATT,0.012953519821166992,151913.74200165656
pr136,MonteCarlo,1.505890130996704,121307.629620197
kroB200,Christofides,0.23455095291137695,32803.034977124196
kroB200,TATT,0.030620336532592773,40710.95987899587
kroB200,MonteCarlo,1.7733769416809082,45285.821735423924
pr152,Christofides,0.027914047241210938,79227.08223414332
pr152,TATT,0.017322063446044922,87998.6939814051
pr152,MonteCarlo,1.559553861618042,87617.11831910803
kroA200,Christofides,0.3362462520599365,32993.62280683348
kroA200,TATT,0.03497791290283203,40030.86635119212
kroA200,MonteCarlo,1.7490336894989014,46666.919565935255
pr107,Christofides,0.029067516326904297,47908.94274807253
pr107,TATT,0.00828242301940918,54238.03661175547
pr107,MonteCarlo,1.3387436866760254,47191.46105307041
st70,Christofides,0.022133827209472656,764.1060372082666
st70,TATT,0.0035812854766845703,873.3514856717352
st70,MonteCarlo,1.1808784008026123,738.4842316123489
pr124,Christofides,0.025859355926513672,64667.63766910584
pr124,TATT,0.05454826354980469,74140.95964828487
pr124,MonteCarlo,1.4452393054962158,69059.78175933432
rat99,Christofides,0.035418033599853516,1367.431978722476
rat99,TATT,0.0067806243896484375,1723.2250451508614
rat99,MonteCarlo,1.3210053443908691,1358.7016492588657
kroB150,Christofides,0.16191816329956055,29832.76161172827
kroB150,TATT,0.018513917922973633,36154.73394030785
kroB150,MonteCarlo,1.5472757816314697,33989.95898693581
lin105,Christofides,0.03880763053894043,16490.628528573037
lin105,TATT,0.007239341735839844,19498.408788813624
lin105,MonteCarlo,1.3221757411956787,15497.904669550013
