Name,Algorithm,Time,Cost
kroE100,VND,4.25308632850647,23431.783239550103
kroC100,VND,4.277587652206421,21528.321602062457
kroB100,VND,4.291686773300171,23221.347498015042
kroD100,VND,4.248802900314331,22047.51812543979
berlin52,VND,0.5801653861999512,8088.514448381215
pr76,VND,2.456101417541504,114122.21052968748
pr144,VND,13.189936876296997,61507.866049520024
rat195,VND,45.04905581474304,2547.699188086839
kroA150,VND,19.981062650680542,28002.454682871874
kroA100,VND,4.263982057571411,23252.91617127295
pr136,VND,11.013571739196777,102045.5310544367
kroB200,VND,48.564321994781494,32744.057887572235
pr152,VND,20.842759609222412,75140.76355094362
kroA200,VND,48.60660243034363,31612.809150177618
pr107,VND,5.215773820877075,44585.3718956246
st70,VND,1.9293091297149658,709.605863195521
pr124,VND,5.5161073207855225,60883.638822684865
rat99,VND,4.160946369171143,1318.3947541649995
kroB150,VND,14.93658995628357,28988.2992480015
lin105,VND,4.9329915046691895,15248.995911179907
att48,VND,0.4568500518798828,35109.0
