Name,Algorithm,Time,Cost
kroE100,0,1.358712911605835,23692.90450677572
kroE100,1,1.3229422569274902,23614.83818990324
kroE100,2,1.3233110904693604,24756.657955378727
kroE100,3,1.319228172302246,23191.92414334792
kroE100,4,1.3244361877441406,27051.515417600607
kroE100,5,1.3270299434661865,24259.68443231587
kroE100,6,1.3273887634277344,24836.71998516743
kroE100,7,1.3327226638793945,24091.750801521466
kroE100,8,1.332918643951416,25802.81198036825
kroE100,9,1.3324975967407227,23966.81348934722
kroE100,10,1.3266196250915527,25756.206114862372
kroE100,11,1.3283576965332031,24584.09517805331
kroE100,12,1.3252778053283691,24284.27158468209
kroE100,13,1.3281593322753906,24848.258043683487
kroE100,14,1.3295090198516846,23703.67258428826
kroE100,15,1.3273301124572754,23713.934530942435
kroE100,16,1.326838731765747,24585.3060720292
kroE100,17,1.3293437957763672,24040.83995676127
kroE100,18,1.3263616561889648,25076.75125352237
kroE100,19,1.3263227939605713,24971.160867112212
kroE100,20,1.3233518600463867,23610.078971051702
kroE100,21,1.3292837142944336,24891.513025333195
kroE100,22,1.3298444747924805,24770.67272607989
kroE100,23,1.3340721130371094,25664.58099103573
kroE100,24,1.3281209468841553,23941.1434972851
kroE100,25,1.3295032978057861,23547.87091204035
kroE100,26,1.3309717178344727,23691.49805261141
kroE100,27,1.3268656730651855,25065.214367541437
kroE100,28,1.3232526779174805,24166.34644910763
kroE100,29,1.328160285949707,23562.278897023625
kroC100,0,1.3447282314300537,23409.32694577531
kroC100,1,1.3385045528411865,24898.913052707034
kroC100,2,1.3361153602600098,23544.00396783918
kroC100,3,1.3370795249938965,22750.23388099499
kroC100,4,1.340358018875122,22038.57647589668
kroC100,5,1.337820053100586,22212.106008911105
kroC100,6,1.3383798599243164,24042.849804122954
kroC100,7,1.3395397663116455,23128.122095399493
kroC100,8,1.3375747203826904,23846.370807811447
kroC100,9,1.3388824462890625,24052.76568933631
kroC100,10,1.3392837047576904,21855.55302335965
kroC100,11,1.3402056694030762,23781.236758534444
kroC100,12,1.3381047248840332,24487.243844769473
kroC100,13,1.3410074710845947,23728.8630670129
kroC100,14,1.3415286540985107,23952.249170517447
kroC100,15,1.3377490043640137,23796.075768460913
kroC100,16,1.3357629776000977,23135.870550191983
kroC100,17,1.3415923118591309,24582.02863925043
kroC100,18,1.3356809616088867,24322.562571738315
kroC100,19,1.3433115482330322,24397.021020277873
kroC100,20,1.337165117263794,24581.462189782706
kroC100,21,1.3529157638549805,23399.16247428492
kroC100,22,1.3433952331542969,21821.448074832755
kroC100,23,1.371445655822754,25270.33452622876
kroC100,24,1.3624041080474854,22787.39273364155
kroC100,25,1.3495287895202637,23060.2885544519
kroC100,26,1.3459739685058594,24208.44356885252
kroC100,27,1.3393511772155762,22546.410696170988
kroC100,28,1.3396122455596924,22355.361529912683
kroC100,29,1.3392810821533203,24126.06808842731
kroB100,0,1.360943078994751,25837.791115484993
kroB100,1,1.3404414653778076,25665.05653056829
kroB100,2,1.3222696781158447,24044.560648009992
kroB100,3,1.3509562015533447,24223.599571891944
kroB100,4,1.355886697769165,25182.3934524692
kroB100,5,1.3268587589263916,24071.37716383286
kroB100,6,1.334143877029419,24120.06403528645
kroB100,7,1.340301275253296,24366.74254984266
kroB100,8,1.3684697151184082,25058.233896336325
kroB100,9,1.3604106903076172,23807.532006030207
kroB100,10,1.3413619995117188,24036.331698033093
